,document,question,answer,metadata
10,"
651 LEGATE OF THING OF THE LEGATEE OR OF A THIRD PARTY
A legacy of the thing of the honored person or of a third party is null, unless it appears from the will or other statement in writing by the testator that he knew that the thing legated belonged to the honored person or to the third party. In the latter case, the honoree is obliged to acquire ownership of the thing from the third party and to transfer it to the legatee, but it is within his power to pay the legatee a fair price for it.
If, however, the thing legated, although belonging to others at the time of the will, is in the testator's ownership at the time of his death, the legacy is valid.

","What happens if the testator did not know that the thing they were leaving as a legacy belonged to someone else, and it still belongs to that person at the time of the testator's death?","The legacy is null. According to the context, ""A legacy of the thing of the honored person or of a third party is null, unless it appears from the will or other statement in writing by the testator that he knew that the thing legated belonged to the honored person or to the third party."" Since the testator did not know, the legacy is considered null.","{'civil_codes_used': 'Art. 651', 'law': 'Inheritance', 'type': 'ITALY'}"
11," 
531
INVENTORY, ADMINISTRATION AND RETURN OF ACCOUNTS
The provisions of Section II of Chapter V of this title, which concern inventory, administration, and rendering of accounts by the heir with benefit of inventory, are common to the administrator of the estate, excluding the limitation of liability for fault.

","What are the key responsibilities of an administrator of an estate in Italy regarding inventory, administration, and accounting, and how do these differ from those of an heir with benefit of inventory?","The key responsibilities of an administrator of an estate regarding inventory, administration, and accounting are similar to those of an heir with benefit of inventory, as they are subject to the same provisions outlined in Section II of Chapter V of this title. The main difference is that the administrator's liability for fault is not limited, whereas the heir with benefit of inventory has a limitation of liability for fault.","{'civil_codes_used': 'Art. 531', 'law': 'Inheritance', 'type': 'ITALY'}"
12,"
744 PERISHING OF THE DONATED THING
The thing perished for reasons not attributable to the donee shall not be subject to collation.

",What happens if the donated item is lost or destroyed due to circumstances beyond my control - do I still need to account for it when calculating the inheritance distribution?,"No, according to the rule, if the donated thing perishes for reasons not attributable to you (the donee), it shall not be subject to collation, meaning you don't need to account for it when calculating the inheritance distribution.","{'civil_codes_used': 'Art. 744', 'law': 'Inheritance', 'type': 'ITALY'}"
13,"
768-SEXIES RELATIONS WITH THIRD PARTIES
At the opening of the entrepreneur's succession, the spouse and other legitimates who did not participate in the agreement might demand from the beneficiaries of the agreement the payment of the sum provided for in the second paragraph of article 768-quater, increased by legal interest.
Failure to comply with the provisions of the first paragraph shall constitute grounds for appeal under article 768-quinquies.

",What happens if the beneficiaries of the agreement refuse to pay the sum demanded by the spouse or other legitimates who did not participate in the agreement?,"According to the context, failure to comply with the provisions (i.e., refusing to pay the sum demanded) shall constitute grounds for appeal under article 768-quinquies.","{'civil_codes_used': 'Art. 768-SEXIES', 'law': 'Inheritance', 'type': 'ITALY'}"
14,"
626 ILLICIT MOTIVE
Illicit motive renders the testamentary disposition void when it appears from the will and is the only one that determined the testator to dispose.

","What constitutes an ""illicit motive"" in the context of Italian inheritance law, and how can it be determined if a testator's decision was solely based on such a motive?","According to the provided context, an ""illicit motive"" is a motivation that, when present as the sole reason for a testator's decision, renders a testamentary disposition void. It can be determined by examining the will itself, as it must appear from the will that the illicit motive was the only one that led the testator to make the disposition.","{'civil_codes_used': 'Art. 626', 'law': 'Inheritance', 'type': 'ITALY'}"
15,"
482
APPEAL ON THE GROUND OF VIOLENCE OR FRAUD
Acceptance of inheritance can be challenged when it is the effect of violence or fraud.
The action prescribes in five years from the day the violence ceased or the malice was discovered.
 
","What happens if I discover that I was a victim of fraud or violence that led to my acceptance of an inheritance, but I only find out about it more than 5 years after the fact - can I still challenge the acceptance of the inheritance?","No, according to the provided context, you cannot challenge the acceptance of the inheritance if more than 5 years have passed since the violence ceased or the fraud was discovered. The action prescribes (or becomes time-barred) after 5 years.","{'civil_codes_used': 'Art. 482', 'law': 'Inheritance', 'type': 'ITALY'}"
16," 
529 DUTIES OF THE ADMINISTRATOR
The administrator is obliged to take an inventory of the estate, exercise and promote its claims, respond to petitions brought against it, administer it, deposit with the post office cashiers or with a credit institution designated by the court the money that is in the estate or is withdrawn from the sale of furniture or real estate, and, lastly, account for its administration.

","What specific steps can an administrator take to ensure they are properly accounting for their administration of the estate, as required by law?","According to the context provided, to properly account for their administration of the estate, an administrator should: 

1. Take an inventory of the estate
2. Exercise and promote its claims
3. Respond to petitions brought against it
4. Administer the estate
5. Deposit money from the estate or sale of assets with the post office cashiers or a designated credit institution
6. Account for their administration (which implies keeping records and providing reports on their actions as administrator)","{'civil_codes_used': 'Art. 529', 'law': 'Inheritance', 'type': 'ITALY'}"
17,"
725 
WITHDRAWALS
If the donated property is not contributed in kind, or if there are debts to be charged to an heir's share under the second paragraph of the preceding article, the other heirs shall withdraw from the estate property in proportion to their respective shares.
Withdrawals, to the extent possible, shall be made from objects of the same nature and quality as those not contributed in kind.

","What happens if there aren't enough estate properties ""of the same nature and quality"" to fulfill all the withdrawals, how will the remaining withdrawals be handled?","The context does not explicitly state what happens if there aren't enough estate properties ""of the same nature and quality"" to fulfill all the withdrawals. It only mentions that withdrawals ""shall be made from objects of the same nature and quality... to the extent possible"", implying that this is the preferred method, but it does not provide a clear alternative for when this is not possible.","{'civil_codes_used': 'Art. 725', 'law': 'Inheritance', 'type': 'ITALY'}"
18," 
556 DETERMINATION OF THE DISPOSABLE PORTION
In order to determine the amount of the portion that the deceased was entitled to dispose of, a mass is formed of all the property that belonged to the deceased at the time of his death, deducting his debts. The assets that were disposed of by way of gift are then fictitiously combined, according to their value determined in accordance with the rules dictated in Articles 747 to 750, and on the estate thus formed the share that the deceased was entitled to dispose of is calculated.

","What specific factors or assets are taken into account when calculating the ""mass"" of property belonging to the deceased, and how do gifted assets factor into this calculation?","When calculating the ""mass"" of property belonging to the deceased, the following factors or assets are taken into account:

1. All the property that belonged to the deceased at the time of his death.
2. The deceased's debts, which are deducted from the total property.

Gifted assets are factored into this calculation by being ""fictitiously combined"" with the remaining estate, according to their value as determined by Articles 747 to 750. This means that gifted assets are valued and then added back into the estate for the purpose of calculating the share that the deceased was entitled to dispose of.","{'civil_codes_used': 'Art. 556', 'law': 'Inheritance', 'type': 'ITALY'}"
19," 
580 RIGHTS OF CHILDREN BORN OUT OF WEDLOCK WHO ARE NOT RECOGNIZABLE
Children born out of wedlock who are entitled to maintenance, education and upbringing, in accordance with article 279, are entitled to a life allowance equal to the amount of the annuity of the share of the inheritance to which they would be entitled if the filiation had been declared or recognized.
Children born out of wedlock are entitled to obtain upon their request the capitalization of the allowance to which they are entitled under the preceding paragraph, either in money or, at the choice of the legal heirs, in hereditary property. 

",What happens if the legal heirs cannot agree on whether to provide the capitalized allowance in money or hereditary property to a child born out of wedlock who has requested it?,"The context does not explicitly address what happens if the legal heirs cannot agree on whether to provide the capitalized allowance in money or hereditary property. It only states that the choice is at the option of the legal heirs, but it does not specify a procedure for resolving disagreements among them.","{'civil_codes_used': 'Art. 279', 'law': 'Inheritance', 'type': 'ITALY'}"
20,"
540 SHARE IN FAVOR OF THE SPOUSE
One-half of the property of the other spouse is reserved in favor of the spouse, subject to the provisions of ART542 for the case of concurrence with children.
To the spouse, even when concurring with other named persons, are reserved the rights of habitation over the house used as a family residence and the rights of use over the furniture accompanying it, if owned by the deceased or jointly owned. These rights rest on the disposable portion and, if this is insufficient, for the remainder on the spouse's reserved share and, if necessary, on the share reserved for the children.
 
","What happens to the family home and its furniture if the deceased spouse had children from a previous marriage, and how do my rights as the surviving spouse interact with those of the children in terms of inheritance?","As the surviving spouse, you have the right of habitation over the house used as a family residence and the right of use over the furniture accompanying it. These rights take precedence and are reserved for you, even if there are children from a previous marriage. 

If the disposable portion of the estate is insufficient to cover these rights, they will then be taken from your reserved share (one-half of the property of the deceased spouse). If necessary, and your share is also insufficient, the rights to the family home and its furniture can extend into the share reserved for the children, ensuring that you maintain these specific rights.","{'civil_codes_used': 'Art. 540', 'law': 'Inheritance', 'type': 'ITALY'}"
21,"
665 CHOICE IN ALTERNATIVE LEGACY
In the alternative bequest, the choice rests with the legatee, unless the testator has left it to the legatee or to a third party.

","If the testator doesn't specify who gets to choose between the alternatives in an alternative legacy, does the law automatically give the choice to the legatee or are there other factors that determine who makes the decision?","According to the context, if the testator doesn't specify, the choice rests with the legatee.","{'civil_codes_used': 'Art. 665', 'law': 'Inheritance', 'type': 'ITALY'}"
22,"
467 NOTION
Representation causes descendants to succeed to the place and degree of their ascendant in all cases in which the ascendant is unable or unwilling to accept the inheritance or legacy.
There is representation in testamentary succession when the testator has not provided for the case in which the person instituted cannot or will not accept the inheritance or legacy, and provided that it is not a legacy of usufruct or other right of a personal nature.

","What happens if a descendant's ascendant is unable to accept an inheritance due to incapacitation, but the testator did provide for an alternative beneficiary in their will - does representation still apply in this scenario?","No, representation does not apply in this scenario. According to the context, representation only occurs when ""the testator has not provided for the case"" in which the person instituted cannot or will not accept the inheritance or legacy. Since the testator did provide for an alternative beneficiary, representation does not apply.","{'civil_codes_used': 'Art. 467', 'law': 'Inheritance', 'type': 'ITALY'}"
23,"
 463-bis
SUSPENSION FROM THE SUCCESSION 
A spouse, including a legally separated spouse, as well as the party to the civil union investigated for the voluntary or attempted murder of the other spouse or the other party to the civil union shall be suspended from the succession until the decree of dismissal or final acquittal. In such case, a curator shall be appointed pursuant to ART528. In the case of conviction or application for punishment at the request of the parties, the person responsible is excluded from succession pursuant to ART463 of this Code.
 The provisions of the first paragraph also apply in cases of a person being investigated for voluntary or attempted murder against one or both parents, brother or sister.
 The prosecutor, consistent with the requirements of secrecy of the investigation,  without delay notifies the clerk's office of the court in the district in which the succession was opened of the fact that it has been entered in the register of criminal records, for the purpose of suspension under this Article.

",What happens to the inheritance if the spouse or partner accused of voluntary or attempted murder is ultimately found not guilty or has their charges dismissed?,"According to the context provided, if the spouse or partner accused of voluntary or attempted murder is ultimately found not guilty (final acquittal) or has their charges dismissed (decree of dismissal), they will no longer be suspended from the succession. However, the text does not explicitly state that they will then inherit, it only mentions that they will no longer be suspended. 

On the other hand, if they are convicted, they will be excluded from the succession. But in the case of acquittal or dismissal, the suspension is lifted, implying that they may then be able to inherit, but this is not explicitly stated.","{'civil_codes_used': 'Art. ART463', 'law': 'Inheritance', 'type': 'ITALY'}"
24,"
767 FACULTY OF THE CO-HEIR TO GIVE THE SUPPLEMENT
The co-heir against whom the action of rescission is brought might truncate its course and prevent a new division by giving the supplement of the hereditary portion, in money or in kind, to the plaintiff and the other co-heirs who have associated with him.

","What happens if one of the co-heirs refuses to give the supplement to the other co-heirs, can they still be forced to do so or will the court proceed with a new division of the inheritance?","According to the context, if the co-heir against whom the action of rescission is brought gives the supplement of the hereditary portion to the plaintiff and the other co-heirs, it can ""truncate its course and prevent a new division"". This implies that if they do give the supplement, the court will not proceed with a new division. However, the context does not explicitly state what happens if the co-heir refuses to give the supplement. It only mentions what happens if they do give it. Therefore, based on the provided context, we cannot determine with certainty what would happen if the co-heir refuses to give the supplement.","{'civil_codes_used': 'Art. 767', 'law': 'Inheritance', 'type': 'ITALY'}"
25,"
742 EXPENSES NOT SUBJECT TO COLLATION
Expenses of maintenance and education and those incurred due to illness, nor ordinary expenses made for clothing or wedding, are not subject to collation.
Expenses for wedding trousseau and those for artistic or professional education are subject to collation only to the extent that they considerably exceed the ordinary measure, taking into account the economic condition of the deceased.
Gifts provided for in the second paragraph of ART770 are not subject to collation.

",What types of expenses related to a child's education or wedding are exempt from being counted as part of the inheritance and therefore do not need to be accounted for when dividing the estate among heirs?,"According to the context, expenses related to a child's education that are exempt from collation (i.e., do not need to be accounted for when dividing the estate) are those that are considered ""ordinary"" or part of ""maintenance and education"". Additionally, wedding-related expenses that are exempt are those that are considered ""ordinary expenses made for clothing or wedding"", but not those related to a wedding trousseau unless they are within the ordinary measure. Expenses for artistic or professional education are only exempt if they do not ""considerably exceed the ordinary measure"".","{'civil_codes_used': 'Art. ART742', 'law': 'Inheritance', 'type': 'ITALY'}"
26,"
724 COLLATION AND IMPUTATION
Coheirs required to collate, in accordance with Chapter II of this title, shall impute all that has been donated to them.
Each heir shall impute to his share the sums for which he was indebted to the deceased and those for which he is indebted to the co-heirs in connection with the relations of community.

","What specific assets or debts are considered when calculating the collation and imputation, and how do these affect the individual shares of each coheir?","According to the context, when calculating the collation and imputation, the following specific assets or debts are considered:

1. Donations made to each coheir, which must be imputed to their share.
2. Sums for which an heir was indebted to the deceased, which must be imputed to their share.
3. Sums for which an heir is indebted to the co-heirs in connection with community relations, which must also be imputed to their share.

These assets and debts affect the individual shares of each coheir by being added to or subtracted from their respective shares, thereby adjusting their overall inheritance accordingly.","{'civil_codes_used': 'Art. 724', 'law': 'Inheritance', 'type': 'ITALY'}"
27,"
611 WILL ON BOARD OF SHIP
During a voyage by sea, a will might be received on board a ship by its master.
The master's will might be received by the person who immediately follows him in order of service.

","What happens to a will made by the master of a ship or their successor if they die before the ship returns to port, and is it considered valid under Italian law?","There is not enough information provided in the context to answer this question. The context only mentions that a will might be received on board a ship by its master, and that the master's will might be received by the person who immediately follows him in order of service, but it does not discuss what happens to the will if the master or their successor dies before the ship returns to port, nor does it mention Italian law.","{'civil_codes_used': 'Art. 611', 'law': 'Inheritance', 'type': 'ITALY'}"
28,"INHERITANCE

",Here is a potential question a user might ask after reading the Italian law on inheritance:,"It seems like you forgot to include the potential question a user might ask about the Italian law on inheritance. Please go ahead and provide it, and I'll do my best to answer based on the context provided (although there is no actual context about Italian law on inheritance).","{'civil_codes_used': 'Art. 815-819', 'law': 'Inheritance', 'type': 'ITALY'}"
29,"
768-SEPTIES DISSOLUTION
The contract might be dissolved or amended by the same persons who concluded the family pact in the following ways:
(1) by means of a different contract, with the same characteristics and the same prerequisites as in this chapter;
2) by withdrawal, if expressly provided for in the contract itself and, necessarily, by declaration to the other contracting parties certified by a notary public.

","""If I've already entered into a family pact regarding inheritance, can I withdraw from it without the consent of the other parties involved, as long as the original contract includes a provision allowing for withdrawal?""","Yes, you can withdraw from the family pact without the consent of the other parties involved, but only if the original contract expressly provides for withdrawal and you make a declaration to the other contracting parties certified by a notary public.","{'civil_codes_used': 'Art. 768-SEPTIES', 'law': 'Inheritance', 'type': 'ITALY'}"
30,"
478 WAIVER IMPORTING ACCEPTANCE
Waiver of rights of inheritance, when made for consideration or in favor of some only of the successor, constitutes acceptance.
 
","If I waive my rights to an inheritance in favor of one of my siblings, does that mean I am technically accepting the inheritance and then immediately giving it up, or is there another implication to this action under Italian law?","According to the context provided, waiving your rights to an inheritance in favor of one of your siblings would actually constitute acceptance. This implies that you are not simply giving up your rights, but rather, you are technically accepting the inheritance and then immediately transferring it to your sibling. In other words, the waiver is considered a form of acceptance, rather than a rejection or renunciation of the inheritance.","{'civil_codes_used': 'Art. 478', 'law': 'Inheritance', 'type': 'ITALY'}"
31,"
701 PERSONS CAPABLE OF BEING APPOINTED
Persons who do not have full capacity to obligate themselves might not be appointed executors.
An heir or legatee might also be appointed executor.

","Can someone with limited mental capacity or a minor be named as an executor in an Italian will, or are there specific requirements they must meet?","According to the context provided, persons who do not have full capacity to obligate themselves (which could include those with limited mental capacity or minors) might not be appointed executors. However, it does not explicitly state that they cannot be named as an executor under any circumstances, only that they ""might not"" be appointed, suggesting some uncertainty or potential exceptions.","{'civil_codes_used': 'Art. 701', 'law': 'Inheritance', 'type': 'ITALY'}"
32,"
689 MULTIPLE SUBSTITUTION AND MUTUAL SUBSTITUTION
More than one person might be substituted for one and one for several.
Substitution might also be mutual among the instituted coheirs. If they were instituted in unequal shares, the proportion between the shares fixed in the first institution shall be presumed to be repeated also in the substitution. If another person is called in the substitution together with the instituted ones, the vacant share shall be divided equally among all the substitutes.

","What happens if I name multiple people as substitute heirs with unequal shares, and one of them predeceases me - will their share be redistributed according to the original proportions or equally among the remaining substitutes?","According to the context, if you name multiple people as substitute heirs with unequal shares, and one of them is called in through substitution (i.e., they take the place of an original heir), the vacant share shall be divided equally among all the substitutes. However, if the substitutes were instituted in unequal shares in the first institution, it is presumed that the proportion between the shares fixed in the first institution shall be repeated also in the substitution. 

Therefore, in your scenario, where one of the substitute heirs predeceases you and they had unequal shares, their share will likely be redistributed according to the original proportions, unless another person is called in the substitution together with the instituted ones, in which case the vacant share would be divided equally among all the substitutes.","{'civil_codes_used': 'Art. 689', 'law': 'Inheritance', 'type': 'ITALY'}"
33,"
680 EXPRESS REVOCATION
Express revocation might be made only by a new will, or by a deed received by a notary public in the presence of two witnesses, in which the testator personally declares that he revokes, in whole or in part, the earlier disposition.

","Can a person revoke a previous will without using a notary public and two witnesses, or is it required to follow this specific procedure for the revocation to be valid?","According to the context provided, express revocation can also be made by a new will, so it is possible for a person to revoke a previous will without using a notary public and two witnesses. The requirement of a deed received by a notary public in the presence of two witnesses is one method, but not the only method, of expressing revocation. A new will can also be used to revoke an earlier disposition.","{'civil_codes_used': 'Art. 680', 'law': 'Inheritance', 'type': 'ITALY'}"
34,"
688 CASES OF ORDINARY SUBSTITUTION
The testator might substitute another person for the heir instituted for the case that the former cannot or will not accept the inheritance.
If the testator has disposed for only one of these cases, it shall be presumed that he intended to refer also to the one not expressed, unless it appears that he intended otherwise.

","What happens if I've been named as a substitute heir in a will, but the original heir is able to accept the inheritance - do I still have any rights or claims to the inheritance?","According to the context provided, if the testator (the person who made the will) has substituted you for the case that the original heir ""cannot or will not accept the inheritance"", and the original heir is able to accept the inheritance, then you would not have any rights or claims to the inheritance. The substitution only applies if the original heir cannot or will not accept, so if they are able and willing to accept, the substitution does not come into effect.","{'civil_codes_used': 'Art. 688', 'law': 'Inheritance', 'type': 'ITALY'}"
35,"
496 RETURN ON ACCOUNT
The heir is obligated to render an account of his administration to creditors and legatees, who may have a term assigned to the heir.

",What happens if the heir fails to provide an account of their administration to creditors and legatees within the assigned term?,"The context does not specify what happens if the heir fails to provide an account of their administration to creditors and legatees within the assigned term. It only states that the heir is obligated to render an account and that a term may be assigned, but it does not mention any consequences for failure to comply.","{'civil_codes_used': 'Art. 496', 'law': 'Inheritance', 'type': 'ITALY'}"
36,"
 480
PRESCRIPTION
The right to accept the inheritance is prescribed in ten years.
The term runs from the day of the opening of the succession and, in the case of conditional institution, from the day on which the condition occurs. In the case of judicial ascertainment of filiation, the term runs from the date on which the judgment establishing filiation becomes final.
The term does not run for further successors, if there has been acceptance by previous successors and subsequently their inheritance acquisition has ceased.
 
","What happens to my right to inherit if I don't accept the inheritance within the 10-year time limit, and can I still claim it after this period has expired?","According to the context, if you don't accept the inheritance within the 10-year time limit, your right to accept the inheritance is prescribed, meaning it expires. The context does not provide for any exceptions or extensions, so it appears that you cannot claim the inheritance after the 10-year period has expired.","{'civil_codes_used': 'Art. 480', 'law': 'Inheritance', 'type': 'ITALY'}"
37,"
639 GUARANTEE IN CASE OF RESOLUTIVE CONDITION
If the testamentary disposition is subject to a resolutory condition, the judicial authority, if it deems it advisable, might require the heir or legatee to give suitable security in favor of those to whom the estate or legacy should be devolved in the event that the condition comes true.

",What kind of security can be considered 'suitable' by the judicial authority when an heir or legatee is required to provide it due to a resolutory condition in a testamentary disposition?,"The context does not specify what kind of security can be considered ""suitable"" by the judicial authority. It only mentions that the judicial authority might require the heir or legatee to give ""suitable security"" without providing further details on what constitutes suitable security.","{'civil_codes_used': 'Art. 639', 'law': 'Inheritance', 'type': 'ITALY'}"
38,"
509 LIQUIDATION CONTINUED AT THE INSTANCE OF CREDITORS OR LEGATEES.
If, after the expiration of the time limit set for submitting statements of claim, the heir incurs the forfeiture of the benefit of inventory, but none of the creditors or legatees asserts it, the court of the place of the open succession, upon the petition of one of the creditors or legatees, after hearing the heir and those who have submitted statements of claim, appoints a liquidator with the task of providing for the liquidation of the estate in accordance with the rules of Articles 499 et seq. After the liquidator has been appointed, forfeiture of the benefit can no longer be enforced.
The decree appointing the liquidator is entered in the register of inheritances, noted in the margin of the transcript prescribed by the second paragraph of ART484, and transcribed in the offices of the land registers of the places where the hereditary property is located and in the offices where movable property is registered.
The heir loses the administration of the property and is obliged to hand it over to the administrator. The acts of disposition that the heir makes after transcribing the decree appointing the liquidator are without effect with respect to creditors and legatees.
 
",What happens to the heir's control over the estate's assets once a liquidator is appointed by the court at the request of a creditor or legatee?,"The heir loses the administration of the property and is obliged to hand it over to the administrator (liquidator). Additionally, any acts of disposition made by the heir after the decree appointing the liquidator is transcribed are without effect with respect to creditors and legatees.","{'civil_codes_used': 'Art. ART509', 'law': 'Inheritance', 'type': 'ITALY'}"
