,document,question,answer,metadata
11," 
ARTICLE 167
CONSTITUTION OF A MATRIMONIAL PROPERTY FUND
Either or both spouses, by public deed, or a third party, including by will, may set up a property fund, allocating certain assets, whether real  or movable property, entered in public registers or securities, to meet the family's needs.
The constitution of the matrimonial property fund by deed between living persons, carried out by the third party, is perfected by the acceptance of the spouses. Acceptance may be made by a subsequent public deed.
The constitution may also be made during marriage.
Debt securities must be pledged by making them registered with a note of the pledge or in another adequate manner.

","What happens to the assets allocated to the matrimonial property fund if one of the spouses files for divorce, are they still considered part of the shared property to be divided?","The provided context does not explicitly address what happens to the assets allocated to the matrimonial property fund in the event of a divorce. It only explains how such a fund can be constituted and by whom, but it does not discuss the division of these assets upon divorce. Therefore, based on the given information, it is unclear whether these assets would still be considered part of the shared property to be divided in case of a divorce.","{'civil_codes_used': 'Art. 167', 'law': 'Divorce', 'type': 'ITALY'}"
13,"
ARTICLE 197 
LIMITS TO LEVY AGAINST THIRD PARTIES
The levy authorised by the preceding Articles can not be made, to the prejudice of third parties, if the individual ownership of the property is not evidenced by a deed bearing a certain date. This shall be without prejudice to the right of the spouse or his or her heirs to have recourse to the community property due to the other spouse or to his or her other property.

",What kind of documentation is required to prove individual ownership of a property and protect it from being levied against by my former spouse during a divorce?,A deed bearing a certain date.,"{'civil_codes_used': 'Art. 197', 'law': 'Divorce', 'type': 'ITALY'}"
14,"
ARTICLE 191 
DISSOLUTION OF COMMUNION
Communion is dissolved by declaration of absence or presumed death of one of the spouses, annulment, dissolution or termination of the civil effects of the marriage, legal separation, judicial separation of property, conventional change of property regime, bankruptcy of one of the spouses.
In the case of legal separation, the community of property between the spouses is dissolved at the time when the president of the court authorises the spouses to live separately, or on the date of the signing of the minutes of the consensual separation of the spouses before the president, provided that they have been approved. The order by which the spouses are authorised to live separately is communicated to the civil registrar for the purposes of recording the dissolution of the community of property.
In the case of companies managed by both spouses and established after the marriage (art 177 lett. d), the dissolution of community may be decided by agreement of the spouses, observing the form provided for in Article 162, or by public deed or by declaration in the marriage certificate.

","What happens to jointly owned property or businesses when a couple gets legally separated in Italy, and how is the dissolution of communal property officially recorded?","When a couple gets legally separated in Italy, their community of property is dissolved at the time the president of the court authorizes them to live separately, or on the date they sign the minutes of their consensual separation before the president. The order authorizing them to live separately is then communicated to the civil registrar, who records the dissolution of the community of property. In the case of companies managed by both spouses and established after marriage, the dissolution of the community may be decided by agreement of the spouses in a specific form, or by public deed or declaration in the marriage certificate.","{'civil_codes_used': 'Art. 191', 'law': 'Divorce', 'type': 'ITALY'}"
15,"
ARTICLE 187 
OBLIGATIONS CONTRACTED BY SPOUSES BEFORE MARRIAGE
Except as provided in Article 189, community property are not be liable for obligations contracted by either spouse before the marriage.

",What happens to debts or financial obligations that one spouse had before getting married - are they still personally responsible for paying them off after the divorce?,"According to Article 187, community property is not liable for obligations (debts) contracted by either spouse before the marriage. This implies that each spouse remains personally responsible for their own debts incurred before marriage, and these debts will not be paid from community property. Therefore, after a divorce, each spouse would still be personally responsible for paying off their own debts that they had before getting married.","{'civil_codes_used': 'Art. Article 187', 'law': 'Divorce', 'type': 'ITALY'}"
16,"
ARTICLE 189
OBLIGATIONS CONTRACTED SEPARATELY BY THE SPOUSES
The community property, up to the value corresponding to the obligated spouse's share, are liable, when creditors cannot be satisfied on personal property, for obligations incurred, after the marriage, by one of the spouses for the performance of acts exceeding ordinary administration without the necessary consent of the other.
The particular creditors of one of the spouses, even if the claim arose prior to the marriage, may be satisfied on a subsidiary basis on the community property, up to the value corresponding to the share of the obligated spouse. If unsecured, the community creditors have preference over them.

",Here is a clear and helpful question a user might ask after reading this Italian law about divorce:,"It seems like you forgot to include the actual question! Please go ahead and provide the question, and I'll do my best to answer it based on the context of Article 189.","{'civil_codes_used': 'Art. 189', 'law': 'Divorce', 'type': 'ITALY'}"
17," 
ARTICLE 162 
FORM OF MARRIAGE AGREEMENTS
Marriage agreements [artt. 159, 167 ff., 215 ff.] must be concluded by authentic instrument under penalty of nullity.
The choice of separation [215] may also be declared in the marriage celebration.
Conventions may be concluded at any time, subject to the provisions of Article 194.
Marriage agreements can not be enforced against third parties when the date of the contract, the notary who drew up the contract and the particulars of the contracting parties, or the choice referred to in the second paragraph, are not recorded in the margin of the marriage certificate.

",What information needs to be recorded in the margin of the marriage certificate for a marriage agreement to be enforceable against third parties?,"The date of the contract, the notary who drew up the contract, the particulars of the contracting parties, or the choice of separation (if declared in the marriage celebration) need to be recorded in the margin of the marriage certificate for a marriage agreement to be enforceable against third parties.","{'civil_codes_used': 'Art. 162', 'law': 'Divorce', 'type': 'ITALY'}"
18,"
ARTICLE 161
GENERAL REFERENCE TO LAWS OR CUSTOMS
The spouses can not agree in a general way that their property relationships shall be governed in whole or in part by laws to which they are not subject or by custom, but must set out in concrete terms the content of the agreements by which they intend to regulate these relationships.

","What specific details must be included in an agreement between spouses regarding their property relationships during a divorce, according to Article 161?","The agreement must set out in concrete terms the content of the agreements by which they intend to regulate their property relationships. In other words, the spouses cannot make a general reference to laws or customs, but must specifically outline the details of how they want to govern their property relationships.","{'civil_codes_used': 'Art. 161', 'law': 'Divorce', 'type': 'ITALY'}"
19," 
ARTICLE 168
USE AND ADMINISTRATION OF THE FUND
Ownership of the property constituting the matrimonial property fund belongs to both spouses, unless otherwise stipulated in the deed of constitution.
The fruits of the assets constituting the patrimonial fund are used for the needs of the family.
The administration of the property constituting the matrimonial property fund is governed by the rules on the administration of legal community.

","What happens to the ownership and control of the matrimonial property fund when a couple gets divorced in Italy, considering that it is jointly owned by both spouses?","The provided context does not explicitly mention what happens to the ownership and control of the matrimonial property fund when a couple gets divorced. It only states the general rules regarding the use and administration of the fund during the marriage, specifying joint ownership unless otherwise stipulated, and that the fruits (or profits) of the assets are used for family needs. For information on what happens upon divorce, additional context or legal details not provided in ARTICLE 168 would be necessary.","{'civil_codes_used': 'Art. ARTICLE 168', 'law': 'Divorce', 'type': 'ITALY'}"
20,"
ARTICLE 159 
STATUTORY MATRIMONIAL PROPERTY REGIME
The statutory matrimonial property regime (in the absence of a different agreement concluded pursuant to Article 162, according to which marital agreements must be concluded by authentic instrument under penalty of nullity, the choice of the separation regime may also be declared in the marriage ceremony, the agreements may be concluded at any time) shall be community of property governed by artt. 177 ff. 

","What are the specific requirements and procedures for creating a marital agreement that differs from the default community of property regime under Article 159, particularly regarding the need for an authentic instrument?","According to Article 162, a marital agreement that differs from the default community of property regime must be concluded by an authentic instrument, otherwise it will be null. However, the choice of the separation regime may also be declared in the marriage ceremony, and such agreements may be concluded at any time.","{'civil_codes_used': 'Art. ARTICLE 159', 'law': 'Divorce', 'type': 'ITALY'}"
21,"
ARTICLE 192 
REFUNDS AND RETURNS
Each of the spouses is liable to reimburse to the community any sums taken out of the community property for purposes other than the performance of the obligations provided for in Article 186. 
The spouse is also obliged to reimburse the value of community property referred to in Art. 189 unless, being an act  of extraordinary administration performed by the spouse, he/she proves that the act was beneficial to the community or satisfied a need of the family.
Either spouse may claim restitution of sums withdrawn from the personal assets (art. 179) and used for expenses and investments of the common property.
Refunds and restitutions are made at the time of the dissolution of the community; however, the court may authorise them at an earlier time if the interests of the family so require or permit.
A spouse who is a creditor may request to take common property up to the amount of his or her claim. In the event of dissent, the fourth paragraph applies. Withdrawals are made on money, then on furniture and finally on real property.

",What happens if one spouse has used community property for personal expenses without the other's consent - can they be forced to reimburse the community and how would that work in the context of a divorce?,"According to Article 192, if one spouse has taken sums out of the community property for purposes other than those provided for in Article 186, they are liable to reimburse the community. Additionally, if they have used community property referred to in Article 189 without consent, they must also reimburse its value unless they can prove that the act was beneficial to the community or satisfied a need of the family.

In the context of a divorce (referred to as ""the dissolution of the community"" in the article), refunds and restitutions are typically made at this time. However, if necessary, the court may authorize reimbursement at an earlier time if it is in the best interests of the family.

If one spouse has used community property for personal expenses without consent, they can be forced to reimburse the community. The reimbursement would be made as part of the dissolution of the community, and the creditor spouse (the one who did not use the community property for personal expenses) may request to take common property up to the amount of their claim. If there is a dispute, the matter would be resolved through the court. Withdrawals to reimburse the community would be made first from money, then from furniture, and finally from real property.","{'civil_codes_used': 'Art. 192', 'law': 'Divorce', 'type': 'ITALY'}"
22,"
ARTICLE 160
MANDATORY RIGHTS 
The spouses can not waive either their rights or their duties under the law as a result of marriage.

","Can spouses make a prenuptial agreement that overrides any of the mandatory rights or duties outlined in the law, or are such agreements invalid according to Article 160?","According to Article 160, spouses cannot waive either their rights or their duties under the law as a result of marriage. This implies that any prenuptial agreement attempting to override mandatory rights or duties would be invalid. Therefore, such agreements are invalid according to Article 160.","{'civil_codes_used': 'Art. 160', 'law': 'Divorce', 'type': 'ITALY'}"
23,"
ARTICLE 190 
SUBSIDIARY LIABILITY OF PERSONAL PROPERTY 
Creditors can take subsidiary action on the personal property of each of the spouses, up to half of the debt, when the community property is insufficient to satisfy the debts of the community.

","What happens if one spouse has more personal property than the other - are they still equally liable for the debt, with each being responsible for up to half?","Yes, according to Article 190, creditors can take subsidiary action on the personal property of each spouse, up to half of the debt. This implies that each spouse is liable for up to half of the debt, regardless of whether one spouse has more personal property than the other.","{'civil_codes_used': 'Art. 190', 'law': 'Divorce', 'type': 'ITALY'}"
24,"
ARTICLE 188
OBLIGATIONS ARISING OUT OF GIFTS OR SUCCESSION
With the exception of obligations contracted after the marriage by one of the spouses, the community property are not be liable for obligations burdening gifts and successions obtained by the spouses during the marriage and not attributed to the community.

","If I receive an inheritance during my marriage, will my spouse be responsible for paying any debts that I had before receiving the inheritance?","No, according to Article 188, the community property (which includes your spouse) is not liable for obligations (debts) burdening gifts and successions (such as an inheritance) obtained by you during the marriage.","{'civil_codes_used': 'Art. ARTICLE 188', 'law': 'Divorce', 'type': 'ITALY'}"
25,"
ARTICLE 163 
AMENDMENT OF AGREEMENTS
Amendments to marriage agreements, whether before or after the marriage, have no effect unless the authentic instrument is drawn up with the consent of all the persons who were parties to the agreements, or their heirs.
If one of the spouses dies after having given his or her consent by authentic instrument to the modification of the agreements, the latter produces its effects if the other parties also subsequently express their consent, subject to the approval of the court. The homologation may be requested by all the persons who participated in the amendment of the agreements or by their heirs.
The agreed amendments and the homologation are effective towards third parties only if an annotation to that effect is made in the margin of the marriage certificate.
The annotation must also be made in the margin of the transcription of the marriage agreements where this is required.

",What happens if one of the spouses agrees to modify a marriage agreement but then passes away before the other parties can give their consent - can the amendment still be finalized and under what conditions?,"According to Article 163, if one of the spouses dies after having given their consent by authentic instrument to the modification of the agreements, the amendment can still produce its effects. However, this is subject to two conditions: 

1. The other parties must subsequently express their consent.
2. The court must approve the amendment (homologation). 

Additionally, for the amendment to be effective towards third parties, an annotation of the agreed amendments and homologation must be made in the margin of the marriage certificate and, if required, the transcription of the marriage agreements.","{'civil_codes_used': 'Art. 163', 'law': 'Divorce', 'type': 'ITALY'}"
26,"
ARTICLE 193 
JUDICIAL SEPARATION OF ASSETS
Judicial separation of property may be pronounced in the event of interdiction or incapacitation of one of the spouses or maladministration of the community.
It may also be pronounced when the disorder of the affairs of one of the spouses or the conduct of one of the spouses in the administration of property endangers the interests of the other or of the community or the family, or when one of the spouses does not contribute to the latter's needs in proportion to his or her substance and capacity for work.
Separation may be requested by one of the spouses or his or her legal representative.
The judgment pronouncing the separation run from the day on which the application was made and shall have the effect of establishing the separation of property regime regulated in Section V of this Chapter, without prejudice to the rights of third parties.
The judgment is noted in the margin of the marriage certificate and on the original of the marriage agreements.

",What are the specific circumstances under which a spouse can request a judicial separation of assets from their partner in Italy?,"According to Article 193, a spouse can request a judicial separation of assets under the following specific circumstances:

1. Interdiction or incapacitation of one of the spouses.
2. Maladministration of the community.
3. Disorder of the affairs of one of the spouses that endangers the interests of the other or of the community or the family.
4. Misconduct of one of the spouses in the administration of property that endangers the interests of the other or of the community or the family.
5. When one of the spouses does not contribute to the latter's needs in proportion to his or her substance and capacity for work.

These circumstances allow a spouse to request a judicial separation of assets, which can be initiated by one of the spouses or their legal representative.","{'civil_codes_used': 'Art. 193', 'law': 'Divorce', 'type': 'ITALY'}"
27," 
ARTICLE 183
EXCLUSION FROM ADMINISTRATION
If one of the spouses is a minor or cannot administer or has mismanaged, the other spouse may ask the court to exclude him/her from the administration.
The spouse deprived of the administration may apply to the court for reinstatement if the grounds for exclusion have ceased to exist.
The exclusion takes effect as of right with regard to the disqualified spouse and remains in force until the disqualification ceases.

",What happens to the jointly owned assets and financial decisions during the period when one spouse has been excluded from administration?,"According to the context provided, during the period when one spouse has been excluded from administration, the other spouse will have control over the administration of their jointly owned assets and financial decisions, as the excluded spouse is ""deprived of the administration"". The excluded spouse's rights are effectively suspended until the grounds for exclusion cease to exist and they are reinstated by the court.","{'civil_codes_used': 'Art. 183', 'law': 'Divorce', 'type': 'ITALY'}"
28,"
ARTICLE 195 
REMOVAL OF MOVABLE PROPERTY
In the division, the spouses or their heirs are entitled to take movable property that belonged to the spouses before the community or that came to them during the community by inheritance or gift. In the absence of proof to the contrary, movable property is presumed to be part of the community.

","What happens if one spouse claims that a specific piece of movable property was a gift to them individually, but the other spouse disputes this claim - how can they prove or disprove ownership in the context of divorce proceedings?","According to Article 195, in the absence of proof to the contrary, movable property is presumed to be part of the community. Therefore, if one spouse claims that a specific piece of movable property was a gift to them individually, they would need to provide proof to support this claim and overcome the presumption that it belongs to the community. Conversely, the other spouse can dispute this claim by presenting evidence to refute the assertion that the property was a gift, thereby maintaining the presumption that the property is part of the community.","{'civil_codes_used': 'Art. 195', 'law': 'Divorce', 'type': 'ITALY'}"
29,"
ARTICLE 218
OBLIGATIONS OF THE SPOUSE ENJOYING THE PROPERTY OF THE OTHER SPOUSE
The spouse who enjoys the property of the other spouse is subject to all the obligations of the usufructuary.

",What exactly are the obligations of a usufructuary that I will be subject to if I am using my spouse's property during our divorce proceedings?,"According to Article 218, as the spouse enjoying the property of the other spouse, you will be subject to all the obligations of a usufructuary. However, the specific obligations are not defined in this article. To determine your exact obligations, you would need to refer to the relevant laws or articles that define the obligations of a usufructuary.","{'civil_codes_used': 'Art. 218', 'law': 'Divorce', 'type': 'ITALY'}"
30," 
ARTICLE 169
ALIENATION OF FUND PROPERTY
Unless expressly allowed in the deed of constitution, assets of the matrimonial property fund can not be alienated, mortgaged, pledged or otherwise bound except with the consent of both spouses and, if there are minor children, with the authorisation granted by the court, by order made in chambers, in cases of obvious necessity or utility

",What happens if one spouse wants to sell a property that is part of the matrimonial fund but the other spouse does not agree - can they still proceed with the sale?,"No, they cannot. According to Article 169, assets of the matrimonial property fund cannot be alienated (which includes selling) without the consent of both spouses. If one spouse does not agree, the sale cannot proceed. Additionally, if there are minor children, court authorization would also be required in cases of obvious necessity or utility, but this is not relevant in this scenario as only the spousal consent is being considered.","{'civil_codes_used': 'Art. 169', 'law': 'Divorce', 'type': 'ITALY'}"
31," 
ARTICLE 186
OBLIGATIONS ON COMMUNITY ASSETS
The  community property is liable for:
(a) all weights and burdens imposed on them at the time of their acquisition;
(b) all burdens of administration;
(c) expenses for the maintenance of the family and for the education and upbringing of the children and any obligations incurred by the spouses, even separately, in the interests of the family
(d) any obligation contracted jointly by the spouses [192].

","What happens to debts or financial obligations that one spouse incurred separately, but claimed were for the benefit of the family, when the community assets are divided during a divorce?","According to Article 186(c), community property is liable for expenses and obligations incurred by the spouses, even separately, in the interests of the family. This means that debts or financial obligations that one spouse incurred separately, but claimed were for the benefit of the family, will be considered a liability of the community property and will likely be shared between the spouses during a divorce.","{'civil_codes_used': 'Art. 186', 'law': 'Divorce', 'type': 'ITALY'}"
32,"
ARTICLE 178
ASSETS INTENDED FOR THE OPERATION OF BUSINESS
Assets intended for the operation of the enterprise of one of the spouses set up after the marriage and the assets of the enterprise set up even earlier are considered to be goods of community only if they exist at the time of its dissolution.

","What happens to the assets of a business started by one spouse before the marriage, but which have increased in value or changed form during the marriage, in the event of a divorce?","According to Article 178, assets intended for the operation of the enterprise set up even earlier (i.e. before the marriage) are considered to be goods of community only if they exist at the time of its dissolution. This implies that any increase in value or change in form of these assets during the marriage would still be subject to the same rule, and would be considered community property only if they exist at the time of divorce.","{'civil_codes_used': 'Art. 178', 'law': 'Divorce', 'type': 'ITALY'}"
33,"
ARTICLE 196 
REIMBURSEMENT OF VALUE IN CASE OF LACK OF THINGS TO BE WITHDRAWN
If movable property which the spouse or his or her heirs are entitled to take under the preceding Article is not found, they can reclaim the value thereof, proving the amount also by affidavit, unless the lack of that property is due to consumption for use or loss or other cause not attributable to the other spouse.

","What happens if my ex-spouse claims that a certain movable property is missing, but I believe they have secretly sold or disposed of it - how can I protect myself in this situation?","According to Article 196, if the lack of the property is due to a cause not attributable to you (in this case, your ex-spouse's secret sale or disposal), then they cannot reclaim the value of the property from you. You can argue that the lack of property is not your responsibility, and therefore, you are not liable to reimburse its value.","{'civil_codes_used': 'Art. 196', 'law': 'Divorce', 'type': 'ITALY'}"
34," 
ARTICLE 185
ADMINISTRATION OF A SPOUSE'S PERSONAL PROPERTY
The provisions of the second, third and fourth paragraphs of Article 217 apply to the administration of property not forming part of a community of property or an estate [167-171 of the Civil Code].

","What types of personal property are considered to be part of a community of property or an estate, as referred to in Articles 167-171 of the Civil Code, and how does this affect their administration during divorce?","The provided context does not explicitly define what types of personal property are considered part of a community of property or an estate as referred to in Articles 167-171 of the Civil Code. It only mentions that the provisions of Article 217 (specifically its second, third, and fourth paragraphs) apply to the administration of property that does not form part of a community of property or an estate. Therefore, without additional information from Articles 167-171 or other parts of the Civil Code, it's not possible to determine the specific types of personal property included or how their administration is affected during divorce based solely on the given context.","{'civil_codes_used': 'Art. Article 185', 'law': 'Divorce', 'type': 'ITALY'}"
35,"
ARTICLE 215 
SEPARATION OF PROPERTY
The spouses may agree that each of them shall retain sole ownership of the property acquired during the marriage.

","If my spouse and I agree to separate our properties under Article 215, does this mean we can also decide how to divide any shared debts or financial responsibilities we accumulated during our marriage?","No, Article 215 only mentions the separation of property acquired during the marriage, but it does not explicitly address the division of shared debts or financial responsibilities. It only states that each spouse shall retain sole ownership of their respective properties.","{'civil_codes_used': 'Art. 215', 'law': 'Divorce', 'type': 'ITALY'}"
36," 
ARTICLE 171
TERMINATION OF THE FUND
The destination of the fund terminates upon annulment or dissolution or cessation of the civil effects of the marriage.
If there are minor children the fund lasts until the last child comes of age. In such a case the court may, at the request of any interested party, lay down rules for the administration of the fund.
Having regard to the economic conditions of the parents and the children and any other circumstances, the court may also assign to the children, in enjoyment or ownership, a share in the property of the estate.
If there are no children, the provisions on the dissolution of legal community apply.

","What happens to the shared assets and property if the marriage is dissolved and there are no minor children, according to the rules on dissolution of legal community?","According to Article 171, if there are no minor children, the provisions on the dissolution of legal community apply. This implies that the shared assets and property will be divided or distributed according to these provisions, although the exact details are not specified in this article.","{'civil_codes_used': 'Art. 171', 'law': 'Divorce', 'type': 'ITALY'}"
37,"
ARTICLE 211 
OBLIGATIONS OF SPOUSES CONTRACTED BEFORE MARRIAGE
The community property are liable for obligations contracted by one of the spouses before the marriage limited to the value of the property owned by that spouse before the marriage which, by agreement entered into, became part of the community of property.

","""If I had debts before getting married and some of my individual assets were added to our joint property after the wedding, will my spouse be held responsible for paying off those pre-marriage debts in the event of a divorce?""","According to Article 211, your spouse will not be fully responsible for paying off your pre-marriage debts. The community property (joint assets) will only be liable for those debts up to the value of the individual assets you owned before marriage that were added to the joint property. Your spouse's individual assets and any joint assets acquired after marriage that did not originate from your pre-marital assets are not liable for your pre-marriage debts.","{'civil_codes_used': 'Art. 211', 'law': 'Divorce', 'type': 'ITALY'}"
